ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,PURCHASE COUNTRY,COLLECTION_DATE,INVESTIGATION TYPE
1,Food-Spice,Turmeric powder,Lead,2.9,ppm,UNKNOWN OR NOT STATED,INDIA,UNITED STATES,01/04/2011 00:00,C
2,Food-Spice,Cumin powder,Lead,2.4,ppm,UNKNOWN OR NOT STATED,INDIA,UNITED STATES,01/04/2011 00:00,C
3,Food-Spice,Cumin seeds,Lead,2.8,ppm,UNKNOWN OR NOT STATED,INDIA,UNITED STATES,01/04/2011 00:00,C
4,Food-Spice,Masala,Lead,12,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,01/04/2011 00:00,C
5,Food-Candy,Tamarind Candy,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,01/06/2011 00:00,A
6,Food-Candy,Lucas Muecas candy,Lead,-1,ppm,Lucas Muecas,MEXICO,UNITED STATES,01/06/2011 00:00,A
7,Jewelry,Amulet (Tabeez),Lead,580000,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,01/13/2011 12:00:00 AM,C
8,Cosmetics,Surma (Hashmi),Lead,410000,ppm,UNKNOWN OR NOT STATED,PAKISTAN,PAKISTAN,01/19/2011 12:00:00 AM,C
9,Food-Spice,Powdered red pepper,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,01/19/2011 12:00:00 AM,C
10,Food-Spice,Turmeric (Haldi),Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,01/19/2011 12:00:00 AM,C
11,Food-Spice,Garam masala,Lead,3.2,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,01/19/2011 12:00:00 AM,C
12,Food-Spice,Garam masala,Lead,3.8,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,01/19/2011 12:00:00 AM,C
13,Food-Spice,Red pepper spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,GHANA,01/19/2011 12:00:00 AM,C
14,Food-Spice,Turmeric powder,Lead,610,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,01/21/2011 12:00:00 AM,C
15,Food-Spice,Chili powder,Lead,3.8,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,01/21/2011 12:00:00 AM,C
16,Dietary Supplement/Medications/Remedy,Pregnita (Ayurvedic),Lead,12000,ppm,Ajmera Pharmaceuticals PVT. LTD.,INDIA,INDIA,01/24/2011 12:00:00 AM,A
17,Dietary Supplement/Medications/Remedy,Calcimax 500,Lead,2.7,ppm,Meyer Vitabiotics,INDIA,INDIA,01/24/2011 12:00:00 AM,A
18,Food-Spice,Turmeric,Lead,1.5,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,01/24/2011 12:00:00 AM,A
19,Food-Spice,Red pepper,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,01/24/2011 12:00:00 AM,C
20,Food Other,Cheetos Crunchy,Lead,-1,ppm,Frito Lays,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,02/07/2011 00:00,C
21,Food Other,Cheetos Crunchy,Lead,-1,ppm,Frito Lay,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,02/07/2011 00:00,C
22,Cosmetics,Johnson & Johnson Baby Powder,Lead,-1,ppm,Dipsoduske oleh,INDONESIA,UNKNOWN OR NOT STATED,02/07/2011 00:00,C
23,Food Other,Dulces Vero,Lead,-1,ppm,Viacom,MEXICO,MEXICO,02/08/2011 00:00,C
24,Food-Spice,Crevette fish bouillon,Lead,-1,ppm,Nestle,GUINEA,UNITED STATES,02/08/2011 00:00,C
25,Jewelry,Amulet/charm,Lead,500000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,02/08/2011 00:00,C
26,Jewelry,Fashion hair clip,Lead,330000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,02/08/2011 00:00,C
27,Tableware/Pottery,Clay pot,Cadmium,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,MEXICO,02/08/2011 00:00,C
28,Tableware/Pottery,Clay pot,Lead,6.2,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,MEXICO,02/08/2011 00:00,C
29,Food-Spice,Chilli powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,02/15/2011 12:00:00 AM,C
30,Toys/Children's Products,Red Race Car (Rust-Eze 95),Lead,73,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/18/2011 12:00:00 AM,C
31,Food-Spice,Soup seasoning,Lead,-1,ppm,Prodravka,CROATIA (local name: Hrvatska),UNKNOWN OR NOT STATED,02/22/2011 12:00:00 AM,C
32,Food Other,Baking yeast,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/22/2011 12:00:00 AM,C
33,Food-Spice,Coriander powder,Lead,-1,ppm,Square Consumer Products,BANGLADESH,UNITED STATES,03/05/2011 00:00,C
34,Food-Spice,Turmeric powder,Lead,760,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,03/05/2011 00:00,C
35,Cosmetics,Surma (Hashmi),Lead,610000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/06/2011 00:00,C
36,Jewelry,Children's jewelry,Lead,38,ppm,UNKNOWN OR NOT STATED,CHINA,UNITED STATES,03/09/2011 00:00,S
37,Jewelry,Children's jewelry set,Lead,74,ppm,UNKNOWN OR NOT STATED,CHINA,UNITED STATES,03/09/2011 00:00,S
38,Jewelry,Children's jewelry set (MSA),Lead,180,ppm,UNKNOWN OR NOT STATED,CHINA,UNITED STATES,03/09/2011 00:00,S
39,Jewelry,Earrings (Lady bug red/black ),Lead,69,ppm,UNKNOWN OR NOT STATED,KOREA - DEMOCRATIC PEOPLE'S REPUBLIC OF,UNITED STATES,03/09/2011 00:00,S
40,Jewelry,Metal charms -butterfly,Lead,870000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,03/09/2011 00:00,S
41,Jewelry,Metal painted charms - bear shaped,Lead,530000,ppm,UNKNOWN OR NOT STATED,UNITED STATES MINOR OUTLYING ISLANDS,UNITED STATES,03/09/2011 00:00,S
42,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,03/10/2011 00:00,C
43,Food-Spice,Turmeric powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,03/10/2011 00:00,C
44,Food-Spice,Coriander powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,03/10/2011 00:00,C
45,Food-Spice,Tea masala,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,03/10/2011 00:00,C
46,Dietary Supplement/Medications/Remedy,Ajanta's Adusol Ayurvedic Compound with Tulsi (Ayurvedic),Lead,0.015,ppm,Ajanta Medicals PVT. LTD,INDIA,INDIA,03/10/2011 00:00,C
47,Dietary Supplement/Medications/Remedy,Omkar Adulsa Compound (Ayurvedic),Lead,0.16,ppm,Omkara,INDIA,INDIA,03/10/2011 00:00,C
48,Food-Spice,Black cumin,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,03/16/2011 12:00:00 AM,C
49,Food-Spice,Ajwain,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,03/16/2011 12:00:00 AM,C
50,Food-Spice,Curry powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,03/16/2011 12:00:00 AM,C
51,Food-Spice,Turmeric powder,Lead,-1,ppm,National Foods Limited,PAKISTAN,UNITED STATES,03/16/2011 12:00:00 AM,C
52,Food-Candy,Dulces Vero Mango,Lead,0.44,ppm,Dulces Vero,MEXICO,UNITED STATES,03/17/2011 12:00:00 AM,C
53,Toys/Children's Products,Painted Metal Toy School Bus,Lead,41,ppm,Buddy L Corp,MACAU,UNKNOWN OR NOT STATED,03/17/2011 12:00:00 AM,C
54,Toys/Children's Products,Painted wooden toy top,Lead,170,ppm,UNKNOWN OR NOT STATED,MEXICO,MEXICO,03/17/2011 12:00:00 AM,C
55,Food-Spice,Cumin powder,Lead,4.4,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,03/22/2011 12:00:00 AM,C
56,Food-Spice,Turmeric powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,03/22/2011 12:00:00 AM,C
57,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,03/22/2011 12:00:00 AM,C
58,Dietary Supplement/Medications/Remedy,Cetamol - liquid pain & fever reliever,Lead,-1,ppm,Cetamol,JAMAICA,JAMAICA,03/24/2011 12:00:00 AM,C
59,Dietary Supplement/Medications/Remedy,Infants Gripe Mixture,Lead,-1,ppm,P.A. Benjamin Manufacturing Co. LTD,JAMAICA,JAMAICA,03/24/2011 12:00:00 AM,C
60,Dietary Supplement/Medications/Remedy,Children's DPH decongestant,Lead,-1,ppm,Federal Pharmaceutical,JAMAICA,JAMAICA,03/24/2011 12:00:00 AM,C
61,Food-Spice,Georgian spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,03/25/2011 12:00:00 AM,C
62,Food-Spice,Georgian spice,Lead,0.7,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,03/25/2011 12:00:00 AM,C
63,Food-Spice,Georgian spice,Lead,1.5,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,03/25/2011 12:00:00 AM,C
64,Food-Spice,Cumin,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,03/25/2011 12:00:00 AM,C
65,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,PAKISTAN,03/25/2011 12:00:00 AM,C
66,Food Other,Fruit preserved mangoes cooked in clay pot,Lead,350,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,MEXICO,03/28/2011 12:00:00 AM,A
67,Food-Spice,Red chilli powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,PAKISTAN,03/29/2011 12:00:00 AM,C
68,Food-Spice,Coriander seeds,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,PAKISTAN,03/29/2011 12:00:00 AM,C
69,Dietary Supplement/Medications/Remedy,Vasant Kusumakar Ras with Gold and Pearl (Ayur),Arsenic,-1,ppm,Dabur India LTD.,INDIA,INDIA,03/30/2011 12:00:00 AM,A
70,Dietary Supplement/Medications/Remedy,Vasant Kusumakar Ras with Gold and Pearl (Ayur),Lead,29,ppm,Dabur India LTD.,INDIA,INDIA,03/30/2011 12:00:00 AM,A
71,Dietary Supplement/Medications/Remedy,Vasant Kusumakar Ras with Gold and Pearl (Ayur),Mercury,31000,ppm,Dabur India LTD.,INDIA,INDIA,03/30/2011 12:00:00 AM,A
72,Dietary Supplement/Medications/Remedy,Mahashakti Rasayan (Ayurvedic),Arsenic,1700,ppm,Vyas Pharmaceuticals,INDIA,INDIA,03/30/2011 12:00:00 AM,A
73,Dietary Supplement/Medications/Remedy,Mahashakti Rasayan (Ayurvedic),Lead,9400,ppm,Vyas Pharmaceuticals,INDIA,INDIA,03/30/2011 12:00:00 AM,A
74,Dietary Supplement/Medications/Remedy,Mahashakti Rasayan (Ayurvedic),Mercury,70000,ppm,Vyas Pharmaceuticals,INDIA,INDIA,03/30/2011 12:00:00 AM,A
75,Tableware/Pottery,Miniature clay pot (ingested),Lead,25000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,MEXICO,04/01/2011 00:00,A
76,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,PAKISTAN,04/04/2011 00:00,A
77,Food-Spice,Turmeric,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,PAKISTAN,04/04/2011 00:00,A
78,Food-Spice,Safflower-yellow flower,Lead,12,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,GEORGIA,04/04/2011 00:00,A
79,Toys/Children's Products,Yellow plastic fish with green fin,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,UNKNOWN OR NOT STATED,04/06/2011 00:00,C
80,Food-Spice,Ginger powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,UNITED STATES,04/06/2011 00:00,C
81,Food Other,Orange food coloring,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,UNITED STATES,04/06/2011 00:00,C
82,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,UNITED STATES,04/06/2011 00:00,C
83,Food-Spice,Oregano,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,UNITED STATES,04/06/2011 00:00,C
84,Food Other,Tea,Lead,3.2,ppm,UNKNOWN OR NOT STATED,MOROCCO,UNITED STATES,04/06/2011 00:00,C
85,Food-Spice,Curry powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,UNITED STATES,04/06/2011 00:00,C
86,Food-Spice,Turmeric powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,UNITED STATES,04/06/2011 00:00,C
87,Dietary Supplement/Medications/Remedy,Purple flower,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,UNITED STATES,04/06/2011 00:00,C
88,Food-Candy,El Chavo Lollipop,Lead,-1,ppm,Dulces Vero,MEXICO,UNKNOWN OR NOT STATED,04/07/2011 00:00,C
89,Food-Spice,Georgian spice (Yellow flour),Lead,14000,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,04/07/2011 00:00,A
90,Food-Spice,Uckho Suneli,Lead,8.5,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,04/07/2011 00:00,A
91,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,04/07/2011 00:00,A
92,Food-Spice,Kinzi spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,04/07/2011 00:00,A
93,Food-Spice,Kondari green spice,Lead,3.2,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,04/07/2011 00:00,A
94,Food-Spice,Svanuri salt,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,04/07/2011 00:00,A
95,Food-Spice,Kinzi Marilit,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,04/07/2011 00:00,A
96,Food-Spice,Jeera (Cumin),Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/11/2011 00:00,C
97,Food-Spice,Turmeric (Haldi),Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/11/2011 00:00,C
98,Food-Spice,Unlabeled spice,Lead,-1,ppm,Preema International LTD,UNITED KINGDOM,UNKNOWN OR NOT STATED,04/11/2011 00:00,C
99,Food-Spice,Dhania (Coriander powder),Lead,2.6,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/11/2011 00:00,C
100,Food-Spice,Paprika,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/11/2011 00:00,C
101,Toys/Children's Products,Painted wooden toy,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/14/2011 12:00:00 AM,C
102,Food Other,Dried Fish,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,BANGLADESH,04/14/2011 12:00:00 AM,A
103,Food-Spice,Cumin powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,04/14/2011 12:00:00 AM,A
104,Food-Spice,Chili powder,Lead,2.2,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,04/14/2011 12:00:00 AM,A
105,Food-Spice,Turmeric powder,Lead,1300,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,04/14/2011 12:00:00 AM,A
106,Food-Spice,Cardamon | Chili pepper | Cinnamon,Lead,0.91,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,04/14/2011 12:00:00 AM,A
107,Food-Spice,Turmeric powder,Lead,1.5,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,04/14/2011 12:00:00 AM,A
108,Food-Spice,Cumin powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,04/14/2011 12:00:00 AM,A
109,Food Other,Olla Azteca Tamarind Pulp,Lead,-1,ppm,El Azteca de Mexico,MEXICO,UNITED STATES,04/15/2011 12:00:00 AM,A
110,Food Other,Donitas (chili and lemon fried flour chips),Lead,-1,ppm,Totis,MEXICO,UNITED STATES,04/15/2011 12:00:00 AM,A
111,Food-Spice,Cumin,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,MEXICO,04/15/2011 12:00:00 AM,C
112,Food-Spice,Turmeric,Lead,5.5,ppm,Radhuni,BANGLADESH,UNITED STATES,04/18/2011 12:00:00 AM,C
113,Food-Spice,Chili powder,Lead,-1,ppm,Radhuni,BANGLADESH,UNITED STATES,04/18/2011 12:00:00 AM,C
114,Food-Spice,Cumin Powder,Lead,-1,ppm,Radhuni,BANGLADESH,UNITED STATES,04/18/2011 12:00:00 AM,C
115,Food Other,Ambroxol Hydrochloride BP,Lead,-1,ppm,Square Pharmacuetical,BANGLADESH,BANGLADESH,04/18/2011 12:00:00 AM,C
116,Dietary Supplement/Medications/Remedy,Ketotifen 1 mg,Lead,-1,ppm,ACI Limited,BANGLADESH,BANGLADESH,04/18/2011 12:00:00 AM,C
117,Dietary Supplement/Medications/Remedy,Zovia Kids Multivitamin Syrup,Lead,-1,ppm,OPSONIN PHARMA LIMITED,BANGLADESH,BANGLADESH,04/18/2011 12:00:00 AM,C
118,Dietary Supplement/Medications/Remedy,Montelukast 4mg,Lead,-1,ppm,Acme LA,BANGLADESH,BANGLADESH,04/18/2011 12:00:00 AM,C
119,Food-Spice,Chili powder,Lead,2.1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,04/19/2011 12:00:00 AM,C
120,Food-Spice,Coriander powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,BANGLADESH,04/19/2011 12:00:00 AM,C
121,Food-Spice,Cumin powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,04/19/2011 12:00:00 AM,C
122,Food-Spice,Turmeric powder,Lead,2.2,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,04/19/2011 12:00:00 AM,C
123,Food-Spice,Turmeric powder,Lead,1300,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,04/19/2011 12:00:00 AM,C
124,Food Other,Dried fish,Lead,2.2,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,BANGLADESH,04/19/2011 12:00:00 AM,C
125,Jewelry,Bracelet,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,BANGLADESH,04/19/2011 12:00:00 AM,C
126,Jewelry,Bracelet,Lead,1500,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,BANGLADESH,04/19/2011 12:00:00 AM,C
127,Food Other,Red jelly filled cookie,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,UNKNOWN OR NOT STATED,04/20/2011 12:00:00 AM,C
128,Food Other,Canelitas cinnamon cookies,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,UNITED STATES,04/20/2011 12:00:00 AM,C
129,Food-Spice,Chili powder,Lead,-1,ppm,"Square Consumer Products, Ltd",BANGLADESH,UNITED STATES,04/22/2011 12:00:00 AM,C
130,Food-Spice,Cumin powder,Lead,-1,ppm,"Square Consumer Products, Ltd",BANGLADESH,UNITED STATES,04/22/2011 12:00:00 AM,C
131,Food-Spice,Curry powder,Lead,-1,ppm,"Square Consumer Products, Ltd",BANGLADESH,UNITED STATES,04/22/2011 12:00:00 AM,C
132,Food-Spice,Coriander powder,Lead,-1,ppm,"Square Consumer Products, Ltd.",BANGLADESH,UNITED STATES,04/22/2011 12:00:00 AM,C
133,Food Other,Brown bark like material,Lead,330,ppm,UNKNOWN OR NOT STATED,CHINA,CHINA,04/26/2011 12:00:00 AM,C
134,Food-Spice,Rhizoma simi lacis glabrae,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,CHINA,04/26/2011 12:00:00 AM,C
135,Food Other,Cordyceps,Lead,-1,ppm,Yiyuan,UNKNOWN OR NOT STATED,CHINA,04/26/2011 12:00:00 AM,C
136,Food Other,Off-white wood like material for soup,Lead,-1,ppm,Yiyuan,UNKNOWN OR NOT STATED,CHINA,04/26/2011 12:00:00 AM,C
137,Food-Spice,Almonds,Lead,-1,ppm,Yiyuan,UNKNOWN OR NOT STATED,CHINA,04/26/2011 12:00:00 AM,C
138,Toys/Children's Products,Copper colored painted ceramics,Lead,25000,ppm,UNKNOWN OR NOT STATED,MEXICO,MEXICO,04/28/2011 12:00:00 AM,C
139,Tableware/Pottery,Painted green and tan ceramic toy,Lead,2300,ppm,UNKNOWN OR NOT STATED,MEXICO,MEXICO,04/28/2011 12:00:00 AM,C
140,Toys/Children's Products,Painted brown ceramic miniature pot,Lead,8900,ppm,UNKNOWN OR NOT STATED,MEXICO,MEXICO,04/28/2011 12:00:00 AM,C
141,Food Other,"Leche galletas (package of sweet crackers, white)",Lead,-1,ppm,Grupo Malla,DOMINICAN REPUBLIC,UNKNOWN OR NOT STATED,04/28/2011 12:00:00 AM,C
142,Food Other,Tan cookies,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,UNKNOWN OR NOT STATED,04/28/2011 12:00:00 AM,C
143,Food-Spice,Kashmiri Chili powder,Lead,12,ppm,Eastern Condiments LTD,INDIA,UNITED STATES,04/28/2011 12:00:00 AM,C
144,Food-Spice,Coriander powder,Lead,8.3,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,04/28/2011 12:00:00 AM,C
145,Food-Spice,Curry powder,Lead,1.2,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/28/2011 12:00:00 AM,C
146,Food-Spice,Masala,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/28/2011 12:00:00 AM,C
147,Food-Spice,Suneli,Lead,14000,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/03/2011 00:00,C
148,Food Other,Tamarind,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,MEXICO,05/03/2011 00:00,C
149,Food Other,Chocolate,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,MEXICO,05/03/2011 00:00,C
150,Dietary Supplement/Medications/Remedy,Festal (Name in Russian),Lead,-1,ppm,Aventis,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 00:00,A
151,Food-Spice,Utskho (Fenugreak),Lead,34,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 00:00,A
152,Food-Spice,Kondari (Thyme),Lead,6.6,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 00:00,A
153,Food-Spice,Svanuri salt,Lead,35,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
154,Food-Spice,Khmeli- spice medley,Lead,13,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
155,Dietary Supplement/Medications/Remedy,Multivitamin,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
156,Cosmetics,Ruby Rose Deluxe Makeup Kit (Eyeshadow),Lead,11,ppm,Ruby Rose Cosmetique S.A.R.L.,GEORGIA,GEORGIA,05/04/2011 00:00,A
157,Cosmetics,Face powder,Lead,2.1,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
158,Cosmetics,Lipstick,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
159,Food-Spice,Chili pepper,Lead,6.2,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
160,Food-Spice,Georgian spice,Lead,30,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
161,Food-Spice,Kinzi,Lead,20,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
162,Food-Spice,Georgian salt,Lead,43,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
163,Food-Spice,Red pepper,Lead,9.9,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
164,Food-Spice,Georgian spice (yellow flower),Lead,1700,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
165,Food-Spice,Georgian spice,Lead,11000,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
166,Food-Spice,Georgian spice,Lead,2500,ppm,UNKNOWN OR NOT STATED,GEORGIA,GEORGIA,05/04/2011 00:00,A
167,Food-Spice,Turmeric powder,Lead,4.7,ppm,Shad USA,BANGLADESH,UNITED STATES,05/05/2011 00:00,S
168,Food-Spice,Turmeric powder,Lead,-1,ppm,Shad,BANGLADESH,UNITED STATES,05/05/2011 00:00,S
169,Cosmetics,Kohl,Lead,440000,ppm,UNKNOWN OR NOT STATED,MOROCCO,MOROCCO,05/05/2011 00:00,C
170,Toys/Children's Products,Chalk,Lead,3,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,05/17/2011 12:00:00 AM,C
171,Jewelry,Jewelry,Lead,15,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,05/17/2011 12:00:00 AM,C
172,Jewelry,Jewelry,Lead,7.5,ppm,Purchase Name,UNKNOWN OR NOT STATED,UNITED STATES,05/17/2011 12:00:00 AM,C
173,Jewelry,Jewelry,Lead,830000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/17/2011 12:00:00 AM,C
174,Dietary Supplement/Medications/Remedy,Mahasudarshan (Ayurvedic),Arsenic,2,ppm,Shree Baidyanath Ayurved,INDIA,UNITED STATES,05/17/2011 12:00:00 AM,S
