ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,PURCHASE COUNTRY,COLLECTION_DATE,INVESTIGATION TYPE
1644,Toys/Children's Products,Wooden block,Lead,10,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,05/20/2016 12:00:00 AM,C
1645,Cosmetics,Lip Stick,Lead,-1,ppm,Nars,UNITED STATES,UNITED STATES,05/20/2016 12:00:00 AM,C
1646,Food-Spice,Turmeric powder,Lead,1300,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,05/24/2016 12:00:00 AM,C
1647,Food-Spice,Cumin seeds,Lead,0.48,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,05/24/2016 12:00:00 AM,C
1648,Food-Spice,Chili Powder,Lead,1.3,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,05/24/2016 12:00:00 AM,C
1649,Food-Spice,Coriander Powder,Lead,0.36,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,05/24/2016 12:00:00 AM,C
1650,Food-Spice,Turmeric,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,05/24/2016 12:00:00 AM,C
1651,Food-Spice,Cumin Powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,05/24/2016 12:00:00 AM,C
1652,Cosmetics,Hashmi Surma,Lead,740000,ppm,Hashmi,PAKISTAN,PAKISTAN,05/24/2016 12:00:00 AM,C
1653,Cosmetics,Hashmi Surma,Lead,860000,ppm,UNKNOWN OR NOT STATED,PAKISTAN,PAKISTAN,05/27/2016 12:00:00 AM,C
1654,Food Other,Potted Plant,Lead,6100,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,06/07/2016 00:00,C
1655,Dietary Supplement/Medications/Remedy,Orange Baby powder (Qian Dan),Lead,750000,ppm,UNKNOWN OR NOT STATED,CHINA,CHINA,06/08/2016 00:00,C
1656,Cosmetics,Surma,Lead,940000,ppm,UNKNOWN OR NOT STATED,PAKISTAN,PAKISTAN,06/08/2016 00:00,C
1657,Food Other,Mole Verde,Lead,360,ppm,UNKNOWN OR NOT STATED,MEXICO,MEXICO,06/10/2016 00:00,A
1658,Food Other,Torta de Quezo,Lead,1.2,ppm,UNKNOWN OR NOT STATED,UNITED STATES,MEXICO,06/10/2016 00:00,A
1659,Food Other,Mole Rojo,Lead,7.1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,MEXICO,06/10/2016 00:00,A
1660,Tableware/Pottery,Clay Pot,Lead,-1,MG/CM^2,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,06/10/2016 00:00,A
1661,Tableware/Pottery,Clay Pot,Lead,14,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,06/10/2016 00:00,A
1662,Food-Spice,Turmeric Powder,Lead,700,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,06/14/2016 12:00:00 AM,C
1663,Food-Spice,Coriander Powder,Lead,3,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,06/14/2016 12:00:00 AM,C
1664,Food-Spice,Jeera Powder,Lead,3.9,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,06/14/2016 12:00:00 AM,C
1665,Food-Spice,Chili Powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,06/14/2016 12:00:00 AM,C
1666,Food-Spice,Garam Masala,Lead,-1,ppm,Mahashian Di Hatti Pvt. Ltd.,INDIA,UNITED STATES,06/14/2016 12:00:00 AM,C
